TOP EDGE,MATERIAL,PARTS,HEIGHT,LF,RIPS,Order
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,1,0.333,0.067,602416
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,3.5,10.875,2.175,602802
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),16,5,29.417,5.883,602805
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,5,12.958,2.592,602805
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,4.5,12.958,2.592,602805
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,5.5,14.708,2.942,602805
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),16,5,29.417,5.883,602805
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,5,12.958,2.592,602805
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,4.5,12.958,2.592,602805
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,11,8.396,1.679,602825
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,10.5,14.125,2.825,602825
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,5.5,7.396,1.479,602825
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,6.5,14.792,2.958,602825
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,7.5,7.396,1.479,602825
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,5.5,6.396,1.279,602826
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),12,7.5,19.188,3.838,602826
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,6.5,5.896,1.179,602826
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,4,8.125,1.625,602828
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,7,8.125,1.625,602828
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,12,8.125,1.625,602828
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,4,18.375,3.675,602830
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,5.5,15.792,3.158,602831
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),24,6.5,47.375,9.475,602831
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,2,7.479,1.496,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,4,9.604,1.921,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,5,11.208,2.242,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),16,5,21.583,4.317,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,5,6.021,1.204,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,5,12.896,2.579,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,5,13.792,2.758,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,5,14.792,2.958,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,7,9.604,1.921,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),16,7,22.417,4.483,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,7,5.917,1.183,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),16,7,25.791,5.158,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),16,7,27.583,5.517,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),16,7,29.583,5.917,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,11,7.646,1.529,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,5,9.5,1.9,602833
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,8.5,8.396,1.679,602837
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,7.5,16.792,3.358,602837
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,6,16.792,3.358,602837
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),4,8.5,7.396,1.479,602837
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,7.5,14.792,2.958,602837
Clear Foil Bullnose,PF: 12MM Baltic Birch Ply (60),8,6,14.792,2.958,602837
