OrderNumber,MaterialName,PartName,W,Length,Quantity,Label,Width,TopEdge,Laser,Scoop,Slope,DrillFront,DividersFB,DividersSS,FileSlots,GroupID,ShipDate
602416,PF: 12MM Baltic Birch Ply,F,1,1,1,"",1,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602416,PF: 12MM Baltic Birch Ply,B,1,1,1,"",1,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602416,PF: 12MM Baltic Birch Ply,L,0.937,0.682,1,"",1,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602416,PF: 12MM Baltic Birch Ply,R,0.937,0.682,1,"",1,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602802,PF: 12MM Baltic Birch Ply,F,3.5,14.625,2,"",3.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602802,PF: 12MM Baltic Birch Ply,B,3.5,14.625,2,"",3.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602802,PF: 12MM Baltic Birch Ply,L,3.437,17.682,2,"",3.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602802,PF: 12MM Baltic Birch Ply,R,3.437,17.682,2,"",3.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,F,5,23.125,4,"R1.1 .2 4.2",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,B,5,23.125,4,"R1.1 .2 4.2",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,L,4.937,20.682,4,"R1.1 .2 4.2",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,R,4.937,20.682,4,"R1.1 .2 4.2",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,F,5,17.875,2,"R1. 2.3",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,B,5,17.875,2,"R1. 2.3",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,L,4.937,20.682,2,"R1. 2.3",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,R,4.937,20.682,2,"R1. 2.3",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,F,4.5,17.875,2,"R1. 2 .3",4.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,B,4.5,17.875,2,"R1. 2 .3",4.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,L,4.437,20.682,2,"R1. 2 .3",4.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,R,4.437,20.682,2,"R1. 2 .3",4.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,1,07/22/26
602805,PF: 12MM Baltic Birch Ply,F,5.5,23.125,2,"R4. 1.4",5.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,B,5.5,23.125,2,"R4. 1.4",5.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,L,5.437,20.682,2,"R4. 1.4",5.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,R,5.437,20.682,2,"R4. 1.4",5.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,F,5,23.125,4,"R4. 1 .2 4 .2",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,B,5,23.125,4,"R4. 1 .2 4 .2",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,L,4.937,20.682,4,"R4. 1 .2 4 .2",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,R,4.937,20.682,4,"R4. 1 .2 4 .2",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,F,5,17.875,2,"R4. 2.3",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,B,5,17.875,2,"R4. 2.3",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,L,4.937,20.682,2,"R4. 2.3",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,R,4.937,20.682,2,"R4. 2.3",5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,F,4.5,17.875,2,"R4 2.3",4.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,B,4.5,17.875,2,"R4 2.3",4.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,L,4.437,20.682,2,"R4 2.3",4.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602805,PF: 12MM Baltic Birch Ply,R,4.437,20.682,2,"R4 2.3",4.5,Clear Foil Bullnose,Yes,None,None,None,None,None,None,2,07/22/26
602825,PF: 12MM Baltic Birch Ply,F,11,35.375,1,"",11,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,B,11,35.375,1,"",11,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,L,10.937,14.682,1,"",11,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,R,10.937,14.682,1,"",11,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,F,10.5,27.375,2,"",10.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,B,10.5,27.375,2,"",10.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,L,10.437,14.682,2,"",10.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,R,10.437,14.682,2,"",10.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,F,5.5,23.375,1,"",5.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,B,5.5,23.375,1,"",5.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,L,5.437,20.682,1,"",5.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,R,5.437,20.682,1,"",5.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,F,6.5,23.375,2,"",6.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,B,6.5,23.375,2,"",6.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,L,6.437,20.682,2,"",6.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,R,6.437,20.682,2,"",6.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,F,7.5,23.375,1,"",7.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,B,7.5,23.375,1,"",7.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,L,7.437,20.682,1,"",7.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602825,PF: 12MM Baltic Birch Ply,R,7.437,20.682,1,"",7.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602826,PF: 12MM Baltic Birch Ply,F,5.5,23.375,1,"",5.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602826,PF: 12MM Baltic Birch Ply,B,5.5,23.375,1,"",5.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602826,PF: 12MM Baltic Birch Ply,L,5.437,14.682,1,"",5.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602826,PF: 12MM Baltic Birch Ply,R,5.437,14.682,1,"",5.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602826,PF: 12MM Baltic Birch Ply,F,7.5,23.375,3,"",7.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602826,PF: 12MM Baltic Birch Ply,B,7.5,23.375,3,"",7.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602826,PF: 12MM Baltic Birch Ply,L,7.437,14.682,3,"",7.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602826,PF: 12MM Baltic Birch Ply,R,7.437,14.682,3,"",7.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
602826,PF: 12MM Baltic Birch Ply,F,6.5,20.375,1,"",6.5,Clear Foil Bullnose,No,None,None,None,None,None,None,1,07/22/26
